I0,I1
25.00000,25.25600
25.00000,25.25500
25.00000,25.25500
25.00000,25.25500
25.00000,25.25500
25.00000,25.25400
25.00000,25.25400
25.00000,25.25400
25.00000,25.25400
25.00000,25.25400
25.00000,25.25300
25.00000,25.25300
25.00000,25.25300
25.00000,25.25300
25.00000,25.25300
25.00000,25.25200
25.00000,25.25200
25.00000,25.25200
25.00000,25.25200
25.00000,25.25200
25.00000,25.25100
25.00000,25.25100
25.00000,25.25100
25.00000,25.25100
25.00000,25.25000
25.00000,25.25000
25.00000,25.25000
25.00000,25.25000
25.00000,25.25000
25.00000,25.24900
25.00000,25.24900
25.00000,25.24900
25.00000,25.24900
25.00000,25.24900
25.00000,25.24800
25.00000,25.24800
25.00000,25.24800
25.00000,25.24800
25.00000,25.24800
25.00000,25.24700
25.00000,25.24700
25.00000,25.24700
25.00000,25.24700
25.00000,25.24700
25.00000,25.24600
25.00000,25.24600
25.00000,25.24600
25.00000,25.24600
25.00000,25.24600
25.00000,25.24500
25.00000,25.24500
25.00000,25.24500
25.00000,25.24500
25.00000,25.24500
25.00000,25.24400
25.00000,25.24400
25.00000,25.24400
25.00000,25.24400
25.00000,25.24400
25.00000,25.24300
25.00000,25.24300
25.00000,25.24300
25.00000,25.24300
25.00000,25.24300
25.00000,25.24300
25.00000,25.24200
25.00000,25.24200
25.00000,25.24200
25.00000,25.24200
25.00000,25.24200
25.00000,25.24100
25.00000,25.24100
25.00000,25.24100
25.00000,25.24100
25.00000,25.24100
25.00000,25.24000
25.00000,25.24000
25.00000,25.24000
25.00000,25.24000
25.00000,25.24000
25.00000,25.23900
25.00000,25.23900
25.00000,25.23900
25.00000,25.23900
25.00000,25.23900
25.00000,25.23900
25.00000,25.23800
25.00000,25.23800
25.00000,25.23800
25.00000,25.23800
25.00000,25.23800
25.00000,25.23700
25.00000,25.23700
25.00000,25.23700
25.00000,25.23700
25.00000,25.23700
25.00000,25.23600
25.00000,25.23600
25.00000,25.23600
25.00000,25.23600
25.00000,25.23600
25.00000,25.23600
25.00000,25.23500
25.00000,25.23500
25.00000,25.23500
25.00000,25.23500
25.00000,25.23500
25.00000,25.23400
25.00000,25.23400
25.00000,25.23400
25.00000,25.23400
25.00000,25.23400
25.00000,25.23400
25.00000,25.23300
25.00000,25.23300
25.00000,25.23300
25.00000,25.23300
25.00000,25.23300
25.00000,25.23300
25.00000,25.23200
25.00000,25.23200
25.00000,25.23200
25.00000,25.23200
25.00000,25.23200
25.00000,25.23100
25.00000,25.23100
25.00000,25.23100
25.00000,25.23100
25.00000,25.23100
25.00000,25.23100
25.00000,25.23000
25.00000,25.23000
25.00000,25.23000
25.00000,25.23000
25.00000,25.23000
25.00000,25.23000
25.00000,25.22900
25.00000,25.22900
25.00000,25.22900
25.00000,25.22900
25.00000,25.22900
25.00000,25.22900
25.00000,25.22800
25.00000,25.22800
25.00000,25.22800
25.00000,25.22800
25.00000,25.22800
25.00000,25.22700
25.00000,25.22700
25.00000,25.22700
25.00000,25.22700
25.00000,25.22700
25.00000,25.22700
25.00000,25.22600
25.00000,25.22600
25.00000,25.22600
25.00000,25.22600
25.00000,25.22600
25.00000,25.22600
25.00000,25.22500
25.00000,25.22500
25.00000,25.22500
25.00000,25.22500
25.00000,25.22500
25.00000,25.22500
25.00000,25.22400
25.00000,25.22400
25.00000,25.22400
25.00000,25.22400
25.00000,25.22400
25.00000,25.22400
25.00000,25.22300
25.00000,25.22300
25.00000,25.22300
25.00000,25.22300
25.00000,25.22300
25.00000,25.22300
25.00000,25.22200
25.00000,25.22200
25.00000,25.22200
25.00000,25.22200
25.00000,25.22200
25.00000,25.22200
25.00000,25.22200
25.00000,25.22100
25.00000,25.22100
25.00000,25.22100
25.00000,25.22100
25.00000,25.22100
25.00000,25.22100
25.00000,25.22000
25.00000,25.22000
25.00000,25.22000
25.00000,25.22000
25.00000,25.22000
25.00000,25.22000
25.00000,25.21900
25.00000,25.21900
25.00000,25.21900
25.00000,25.21900
25.00000,25.21900
25.00000,25.21900
25.00000,25.21900
25.00000,25.21800
25.00000,25.21800
