I0,I1
166.66701,158.35400
166.66701,158.36301
166.66701,158.37199
142.85699,158.35500
166.66701,158.36400
166.66701,158.37300
166.66701,158.38200
142.85699,158.36501
111.11100,158.31500
100.00000,158.25301
200.00000,158.29700
166.66701,158.30600
142.85699,158.28999
166.66701,158.29900
166.66701,158.30800
166.66701,158.31599
166.66701,158.32500
142.85699,158.30901
200.00000,158.35300
142.85699,158.33600
166.66701,158.34500
166.66701,158.35400
166.66701,158.36301
142.85699,158.34599
200.00000,158.39000
142.85699,158.37399
166.66701,158.38200
166.66701,158.39101
100.00000,158.33000
166.66701,158.33900
166.66701,158.34801
142.85699,158.33099
200.00000,158.37500
142.85699,158.35899
200.00000,158.40199
142.85699,158.38600
166.66701,158.39400
166.66701,158.40300
166.66701,158.41100
142.85699,158.39500
200.00000,158.43800
142.85699,158.42200
166.66701,158.42999
166.66701,158.43900
166.66701,158.44701
142.85699,158.43100
166.66701,158.44000
166.66701,158.44800
100.00000,158.38901
142.85699,158.37300
200.00000,158.41499
142.85699,158.39900
166.66701,158.40800
166.66701,158.41600
166.66701,158.42400
166.66701,158.43300
166.66701,158.44099
166.66701,158.44901
166.66701,158.45799
166.66701,158.46600
142.85699,158.45000
166.66701,158.45900
166.66701,158.46700
142.85699,158.45100
166.66701,158.45900
166.66701,158.46800
166.66701,158.47600
166.66701,158.48399
90.90900,158.41600
166.66701,158.42500
166.66701,158.43300
166.66701,158.44099
166.66701,158.44901
111.11100,158.40199
200.00000,158.44400
142.85699,158.42799
166.66701,158.43600
166.66701,158.44400
166.66701,158.45300
142.85699,158.43700
200.00000,158.47800
142.85699,158.46300
166.66701,158.47099
166.66701,158.47900
166.66701,158.48700
142.85699,158.47200
200.00000,158.51199
142.85699,158.49699
100.00000,158.44000
166.66701,158.44800
200.00000,158.48801
142.85699,158.47301
142.85699,158.45799
166.66701,158.46600
166.66701,158.47400
166.66701,158.48199
200.00000,158.52200
166.66701,158.53000
166.66701,158.53799
200.00000,158.57800
166.66701,158.58600
166.66701,158.59399
166.66701,158.60201
200.00000,158.64200
166.66701,158.64999
166.66701,158.65700
250.00000,158.74500
142.85699,158.73000
100.00000,158.67400
166.66701,158.68100
200.00000,158.72099
166.66701,158.72800
200.00000,158.76801
166.66701,158.77600
200.00000,158.81500
166.66701,158.82201
166.66701,158.83000
166.66701,158.83701
250.00000,158.92400
142.85699,158.90900
200.00000,158.94800
166.66701,158.95500
166.66701,158.96300
166.66701,158.97000
142.85699,158.95500
166.66701,158.96201
166.66701,158.96899
200.00000,159.00800
100.00000,158.95200
200.00000,158.99100
200.00000,159.03000
166.66701,159.03700
166.66701,159.04401
166.66701,159.05099
200.00000,159.09000
166.66701,159.09700
125.00000,159.06500
166.66701,159.07201
166.66701,159.07899
166.66701,159.08600
166.66701,159.09300
166.66701,159.10001
200.00000,159.13800
166.66701,159.14500
166.66701,159.15199
166.66701,159.15900
166.66701,159.16600
166.66701,159.17300
100.00000,159.11800
166.66701,159.12500
166.66701,159.13200
166.66701,159.13901
166.66701,159.14600
166.66701,159.15300
166.66701,159.16000
166.66701,159.16701
142.85699,159.15199
166.66701,159.15900
166.66701,159.16600
200.00000,159.20300
166.66701,159.21001
200.00000,159.24699
200.00000,159.28500
166.66701,159.29100
166.66701,159.29800
166.66701,159.30499
200.00000,159.34200
166.66701,159.34900
100.00000,159.29500
166.66701,159.30099
166.66701,159.30800
166.66701,159.31500
166.66701,159.32100
166.66701,159.32800
200.00000,159.36501
166.66701,159.37100
200.00000,159.40800
166.66701,159.41499
166.66701,159.42101
166.66701,159.42799
166.66701,159.43401
166.66701,159.44099
166.66701,159.44701
166.66701,159.45399
166.66701,159.46001
142.85699,159.44501
166.66701,159.45200
166.66701,159.45799
90.90900,159.39700
200.00000,159.43300
200.00000,159.46899
166.66701,159.47600
166.66701,159.48199
166.66701,159.48801
200.00000,159.52400
142.85699,159.50999
200.00000,159.54500
142.85699,159.53101
200.00000,159.56700
142.85699,159.55200
166.66701,159.55800
111.11100,159.51500
166.66701,159.52200
166.66701,159.52800
166.66701,159.53400
166.66701,159.53999
166.66701,159.54700
142.85699,159.53200
100.00000,159.48000
166.66701,159.48599
166.66701,159.49200
166.66701,159.49899
166.66701,159.50500
166.66701,159.51100
166.66701,159.51700
166.66701,159.52400
166.66701,159.53000
142.85699,159.51500
200.00000,159.55099
142.85699,159.53600
142.85699,159.52200
166.66701,159.52800
200.00000,159.56300
166.66701,159.56900
200.00000,159.60400
166.66701,159.61000
200.00000,159.64500
166.66701,159.65100
90.90900,159.59200
200.00000,159.62700
200.00000,159.66100
166.66701,159.66701
200.00000,159.70200
142.85699,159.68800
200.00000,159.72200
142.85699,159.70799
166.66701,159.71400
200.00000,159.74800
200.00000,159.78200
142.85699,159.76801
200.00000,159.80200
166.66701,159.80800
166.66701,159.81400
166.66701,159.82001
166.66701,159.82600
166.66701,159.83200
166.66701,159.83701
142.85699,159.82300
100.00000,159.77200
166.66701,159.77800
166.66701,159.78400
166.66701,159.78999
142.85699,159.77499
200.00000,159.80901
200.00000,159.84300
166.66701,159.84900
200.00000,159.88300
142.85699,159.86800
200.00000,159.90199
142.85699,159.88800
200.00000,159.92200
142.85699,159.90700
200.00000,159.94099
142.85699,159.92700
166.66701,159.93201
111.11100,159.89101
166.66701,159.89700
166.66701,159.90300
100.00000,159.85300
166.66701,159.85800
166.66701,159.86400
142.85699,159.85001
200.00000,159.88300
142.85699,159.86900
200.00000,159.90199
142.85699,159.88800
166.66701,159.89400
166.66701,159.89999
166.66701,159.90500
142.85699,159.89101
200.00000,159.92400
142.85699,159.91000
166.66701,159.91600
166.66701,159.92101
142.85699,159.90700
200.00000,159.94000
200.00000,159.97301
142.85699,159.95900
111.11100,159.91901
166.66701,159.92400
166.66701,159.92999
166.66701,159.93500
166.66701,159.94099
166.66701,159.94600
166.66701,159.95200
166.66701,159.95700
166.66701,159.96300
142.85699,159.94901
200.00000,159.98199
142.85699,159.96800
200.00000,160.00000
142.85699,159.98599
200.00000,160.01900
142.85699,160.00500
166.66701,160.00999
166.66701,160.01500
166.66701,160.02100
142.85699,160.00700
100.00000,159.95900
166.66701,159.96400
166.66701,159.96899
166.66701,159.97501
166.66701,159.98000
142.85699,159.96600
200.00000,159.99899
142.85699,159.98500
166.66701,159.99001
166.66701,159.99600
200.00000,160.02800
142.85699,160.01401
166.66701,160.01900
166.66701,160.02400
166.66701,160.03000
142.85699,160.01601
166.66701,160.02100
166.66701,160.02699
166.66701,160.03200
142.85699,160.01801
100.00000,159.97099
111.11100,159.93201
200.00000,159.96400
142.85699,159.95000
166.66701,159.95500
166.66701,159.96100
166.66701,159.96600
166.66701,159.97099
166.66701,159.97701
142.85699,159.96300
166.66701,159.96800
166.66701,159.97400
166.66701,159.97900
142.85699,159.96500
200.00000,159.99699
142.85699,159.98300
166.66701,159.98900
166.66701,159.99400
166.66701,159.99899
166.66701,160.00400
83.33300,159.94400
200.00000,159.97600
166.66701,159.98100
200.00000,160.01199
166.66701,160.01700
200.00000,160.04800
200.00000,160.07899
166.66701,160.08501
166.66701,160.09000
166.66701,160.09500
200.00000,160.12601
166.66701,160.13100
200.00000,160.16200
142.85699,160.14799
200.00000,160.17900
142.85699,160.16600
166.66701,160.17101
166.66701,160.17599
200.00000,160.20599
166.66701,160.21100
100.00000,160.16499
166.66701,160.17000
200.00000,160.20100
142.85699,160.18700
200.00000,160.21800
166.66701,160.22301
166.66701,160.22800
142.85699,160.21400
200.00000,160.24500
142.85699,160.23199
166.66701,160.23599
166.66701,160.24100
166.66701,160.24600
166.66701,160.25101
200.00000,160.28101
166.66701,160.28600
166.66701,160.29100
166.66701,160.29601
166.66701,160.30099
166.66701,160.30600
100.00000,160.25999
166.66701,160.26500
166.66701,160.27000
166.66701,160.27400
166.66701,160.27901
111.11100,160.24200
166.66701,160.24699
166.66701,160.25200
166.66701,160.25700
166.66701,160.26199
166.66701,160.26601
166.66701,160.27100
166.66701,160.27600
142.85699,160.26300
200.00000,160.29300
142.85699,160.28000
166.66701,160.28400
142.85699,160.27100
200.00000,160.30099
