px,py,fx,fy,zx,zy,zs
0.42143,0.78857,0.54571,0.58571,1.04945,1.03218,1.04085
0.43143,0.79143,0.55571,0.58857,1.05759,1.03597,1.04684
0.43571,0.79143,0.56000,0.58857,1.01980,1.01852,1.01916
0.43571,0.79143,0.56000,0.58857,1.00971,1.01364,1.01167
0.43429,0.79286,0.55857,0.59000,1.00721,1.00897,1.00809
0.43286,0.79286,0.55714,0.59000,1.00477,1.00222,1.00350
0.43143,0.79429,0.55571,0.59143,1.00713,1.00222,1.00468
0.43143,0.79429,0.55571,0.59143,1.00000,1.00000,1.00000
0.43143,0.79286,0.55571,0.59000,1.00000,0.99558,0.99779
0.43143,0.79000,0.55571,0.58714,1.00000,0.98889,0.99446
0.42714,0.78714,0.55143,0.58429,0.98821,0.98202,0.98512
0.40714,0.78857,0.53143,0.58571,0.92840,0.96796,0.94839
0.38714,0.79571,0.51143,0.59286,0.91774,0.91726,0.91750
0.38857,0.79286,0.51286,0.59000,0.94678,0.92783,0.93735
0.39714,0.78571,0.52143,0.58286,0.85207,0.90556,0.87922
0.39429,0.78571,0.51857,0.58286,0.86458,0.93252,0.89919
0.38429,0.79286,0.50857,0.59000,0.90361,0.93421,0.91904
0.38714,0.78857,0.51143,0.58571,0.96889,0.96127,0.96509
0.38143,0.79143,0.50571,0.58857,0.91284,0.89744,0.90517
0.37571,0.79286,0.50000,0.59000,0.86935,0.89796,0.88377
0.37571,0.79286,0.50000,0.59000,0.89595,0.94091,0.91871
0.37857,0.79143,0.50286,0.58857,0.91613,0.96135,0.93901
0.37429,0.79429,0.49857,0.59143,0.91549,0.95980,0.93791
0.37143,0.79429,0.49571,0.59143,0.91539,0.95811,0.93699
0.37143,0.79429,0.49571,0.59143,1.00000,1.00000,1.00000
0.37143,0.79571,0.49571,0.59286,0.96639,0.97814,0.97228
0.37143,0.79571,0.49571,0.59286,1.00000,1.00000,1.00000
0.37429,0.79714,0.49857,0.59429,0.95652,0.96648,0.96151
0.37429,0.79714,0.49857,0.59429,1.00000,1.00000,1.00000
0.37429,0.79714,0.49857,0.59429,1.00000,0.99422,0.99711
0.37429,0.79714,0.49857,0.59429,1.00000,1.00000,1.00000
0.37286,0.79429,0.49714,0.59143,1.04545,1.01163,1.02868
0.37286,0.79429,0.49714,0.59143,1.00000,1.00000,1.00000
0.36714,0.78571,0.49143,0.58286,1.22609,1.07471,1.15289
0.36714,0.77857,0.49143,0.57571,1.17021,1.13904,1.15473
0.37143,0.77429,0.49571,0.57143,1.08485,1.08920,1.08703
0.37714,0.77143,0.50143,0.56857,1.10056,1.06897,1.08488
0.37571,0.77000,0.50000,0.56714,1.13198,1.06855,1.10072
0.37286,0.77000,0.49714,0.56714,1.08520,1.05283,1.06914
0.37000,0.77000,0.49429,0.56714,1.13636,1.07168,1.10450
0.36857,0.77000,0.49286,0.56714,1.10182,1.07023,1.08614
0.37000,0.76857,0.49429,0.56571,1.04290,1.04375,1.04333
0.37286,0.76571,0.49714,0.56286,1.06329,1.05389,1.05860
0.37429,0.76429,0.49857,0.56143,1.04762,1.02841,1.03806
0.37143,0.76286,0.49571,0.56000,1.03693,1.02210,1.02954
0.36714,0.76429,0.49143,0.56143,1.04110,1.03784,1.03947
