I0,I1,I2,I3,I4,I5,I6
11.71429,101.42857,54.71429,58.28571,2.22353,182.00397,236.02295
12.00000,101.85714,55.00000,58.71429,2.10588,175.26308,225.41594
12.42857,102.14286,55.42857,59.00000,1.91765,165.52623,209.11472
12.71429,102.00000,55.71429,58.85714,1.84706,161.78130,202.90585
12.85714,102.00000,55.85715,58.85714,1.76471,152.04446,192.28302
12.71429,102.14286,55.71429,59.00000,1.70588,147.55054,186.23703
12.57143,102.42857,55.57143,59.28571,1.61177,142.30762,177.80008
12.57143,102.71429,55.57143,59.57143,1.54118,137.06471,170.63252
12.57143,102.85715,55.57143,59.71429,1.49412,134.06876,166.16426
12.57143,102.85715,55.57143,59.71429,1.49412,134.06876,166.16426
12.57143,103.00000,55.57143,59.85714,1.49412,133.31978,165.70078
12.57143,103.00000,55.57143,59.85714,1.49412,133.31978,165.70078
12.57143,103.00000,55.57143,59.85714,1.50588,133.31978,166.35442
12.57143,103.00000,55.57143,59.85714,1.52941,135.56674,169.05595
11.85714,103.42857,54.85714,60.28572,1.72941,145.30359,186.24733
11.00000,103.28572,54.00000,60.14286,2.01177,161.78131,212.06248
10.57143,103.14286,53.57143,60.00000,2.17647,175.26309,229.57941
10.14286,103.00000,53.14286,59.85714,2.44706,197.73273,258.56754
10.42857,102.85715,53.42857,59.71429,2.74118,218.70439,287.82419
11.00000,103.00000,54.00000,59.85714,2.96471,232.18617,308.44406
11.14286,103.00000,54.14286,59.85714,3.22353,245.66794,330.89343
10.85714,102.85715,53.85714,59.71429,3.57647,265.14163,362.15726
10.57143,102.85715,53.57143,59.71429,3.74118,277.12543,378.68079
10.28571,102.71429,53.28571,59.57143,3.90588,288.36026,394.69308
10.14286,102.85715,53.14286,59.71429,4.08235,299.59506,411.29999
10.42857,102.85715,53.42857,59.71429,4.25882,310.08087,427.39087
10.71429,103.00000,53.71429,59.85714,4.47059,322.81369,446.79538
10.85714,103.28572,53.85714,60.14286,4.61177,331.05252,459.55359
11.14286,103.14286,54.14286,60.00000,4.75294,339.29138,472.30783
11.57143,102.71429,54.57143,59.57143,4.85883,345.28326,481.74042
11.85714,102.57143,54.85714,59.42857,5.03530,353.52213,496.24530
11.71429,102.42857,54.71429,59.28571,5.16471,361.01202,507.88034
11.57143,102.42857,54.57143,59.28571,5.29412,369.25089,520.03900
11.28571,102.57143,54.28572,59.42857,5.42353,378.98773,533.25177
10.85714,102.71429,53.85714,59.57143,5.56471,388.72458,547.04218
10.28571,102.85715,53.28571,59.71429,5.78824,401.45737,566.99219
10.00000,102.71429,53.00000,59.57143,5.97647,409.69620,582.03949
9.85714,102.57143,52.85714,59.42857,6.17647,419.43307,598.70135
10.14286,102.28572,53.14286,59.14286,6.37647,428.42093,614.81805
10.14286,102.28572,53.14286,59.14286,6.37647,428.42093,614.81805
10.28571,101.85714,53.28571,58.71429,6.54118,436.65976,628.67346
10.28571,101.85714,53.28571,58.71429,6.54118,436.65976,628.67346
10.28571,101.57143,53.28571,58.42857,6.72941,444.89865,643.65753
10.28571,101.57143,53.28571,58.42857,6.72941,444.89865,643.65753
11.00000,101.14286,54.00000,58.00000,7.11765,462.87436,675.25073
11.00000,101.14286,54.00000,58.00000,7.11765,462.87436,675.25073
11.57143,100.71429,54.57143,57.57143,7.30588,468.86624,688.56525
11.57143,100.71429,54.57143,57.57143,7.30588,468.86624,688.56525
11.85714,100.42857,54.85714,57.28571,7.38824,471.11322,694.09955
11.85714,100.42857,54.85714,57.28571,7.38824,471.11322,694.09955
11.85714,100.42857,54.85714,57.28571,7.40000,471.11322,694.65247
11.85714,100.42857,54.85714,57.28571,7.40000,471.11322,694.65247
11.85714,100.42857,54.85714,57.28571,7.40000,471.11322,694.65247
11.85714,100.42857,54.85714,57.28571,7.40000,471.11322,694.65247
12.00000,100.28571,55.00000,57.14286,7.36471,469.61523,691.89172
12.00000,100.28571,55.00000,57.14286,7.36471,469.61523,691.89172
